course_title,topic,platform,url,recommended_for_roles,duration_hours_est
Clinical Research Methods - Certificate,Clinical Research Methods,YouTube,https://youtube.org/clinical-research-methods---certificate,"Project Manager, Financial Analyst, Occupational Therapist",80
Civil Engineering Fundamentals - Advanced,Civil Engineering Fundamentals,edX,https://edx.org/civil-engineering-fundamentals---advanced,"Operations Manager, Landscape Architect, AI Researcher, Mobile Developer (iOS)",8
Data Visualization - Intro,Data Visualization,LinkedIn Learning,https://linkedinlearning.org/data-visualization---intro,"Test Automation Engineer, Speech Recognition Engineer, NLP Engineer",8
Digital Marketing - Certificate,Digital Marketing,MIT OCW,https://mitocw.org/digital-marketing---certificate,"Landscape Architect, Procurement Specialist, Paralegal",12
SQL and Databases - Intro,SQL and Databases,edX,https://edx.org/sql-and-databases---intro,"Restaurant Manager, Research Associate",40
Node.js APIs - Advanced,Node.js APIs,Udemy,https://udemy.org/node.js-apis---advanced,"Environmental Scientist, Embedded Systems Engineer, Business Development Manager, Product Manager",4
Sustainability and ESG - Intro,Sustainability and ESG,LinkedIn Learning,https://linkedinlearning.org/sustainability-and-esg---intro,"Legal Counsel, Accountant",80
Civil Engineering Fundamentals - Intro,Civil Engineering Fundamentals,Fast.ai,https://fast.ai.org/civil-engineering-fundamentals---intro,"Site Reliability Engineer, Digital Marketing Specialist",12
Teaching Strategies - Certificate,Teaching Strategies,Fast.ai,https://fast.ai.org/teaching-strategies---certificate,"Cloud Engineer, Systems Engineer",8
Civil Engineering Fundamentals - Intermediate,Civil Engineering Fundamentals,Pluralsight,https://pluralsight.org/civil-engineering-fundamentals---intermediate,"Architect, Logistics Coordinator, Backend Developer, Operations Manager",80
Deep Learning - Advanced,Deep Learning,Udemy,https://udemy.org/deep-learning---advanced,Archivist,24
Video Editing - Advanced,Video Editing,Pluralsight,https://pluralsight.org/video-editing---advanced,"Database Administrator, Content Strategist",80
Adobe Photoshop Essentials - Intro,Adobe Photoshop Essentials,Fast.ai,https://fast.ai.org/adobe-photoshop-essentials---intro,Architect,24
Nutrition and Dietetics - Intermediate,Nutrition and Dietetics,YouTube,https://youtube.org/nutrition-and-dietetics---intermediate,"Event Planner, Robotics Engineer, Database Administrator, Sustainability Analyst",24
Civil Engineering Fundamentals - Intermediate,Civil Engineering Fundamentals,LinkedIn Learning,https://linkedinlearning.org/civil-engineering-fundamentals---intermediate,"Instructional Designer, Industrial Designer, Business Development Manager",40
Deep Learning - Bootcamp,Deep Learning,Udemy,https://udemy.org/deep-learning---bootcamp,"Urban Planner, Property Manager",8
Civil Engineering Fundamentals - Certificate,Civil Engineering Fundamentals,edX,https://edx.org/civil-engineering-fundamentals---certificate,"Test Automation Engineer, Social Media Manager, Food Technologist",24
