job_role,description,required_skills,industry,typical_experience_years,median_salary_est_usd,text
Data Scientist,Analyzes complex datasets to extract insights and build predictive models,"Python, Machine Learning, Statistics, SQL, Data Visualization",Technology,8,40000,"Data Scientist. Analyzes complex datasets to extract insights and build predictive models. Skills: Python, Machine Learning, Statistics, SQL, Data Visualization"
Machine Learning Engineer,Develops scalable ML models and integrates them into production systems,"Python, TensorFlow, PyTorch, Data Engineering, APIs",Technology,10,100000,"Machine Learning Engineer. Develops scalable ML models and integrates them into production systems. Skills: Python, TensorFlow, PyTorch, Data Engineering, APIs"
AI Researcher,Researches and develops new algorithms to advance artificial intelligence,"Deep Learning, NLP, Research, Python, Statistics",Manufacturing,10,70000,"AI Researcher. Researches and develops new algorithms to advance artificial intelligence. Skills: Deep Learning, NLP, Research, Python, Statistics"
Data Analyst,Transforms raw data into actionable insights for business decisions,"Excel, SQL, Tableau, Data Cleaning, Reporting",Finance,2,80000,"Data Analyst. Transforms raw data into actionable insights for business decisions. Skills: Excel, SQL, Tableau, Data Cleaning, Reporting"
Business Analyst,Bridges business needs with technical solutions through data and process analysis,"Communication, SQL, Excel, Business Strategy, Documentation",Finance,1,60000,"Business Analyst. Bridges business needs with technical solutions through data and process analysis. Skills: Communication, SQL, Excel, Business Strategy, Documentation"
Frontend Developer,Builds interactive and responsive user interfaces for web applications,"HTML, CSS, JavaScript, React, UI Design",Technology,6,30000,"Frontend Developer. Builds interactive and responsive user interfaces for web applications. Skills: HTML, CSS, JavaScript, React, UI Design"
Backend Developer,"Develops server-side logic, databases, and APIs for applications","Node.js, Django, SQL, REST APIs, Authentication",Technology,5,60000,"Backend Developer. Develops server-side logic, databases, and APIs for applications. Skills: Node.js, Django, SQL, REST APIs, Authentication"
Full Stack Developer,Handles both frontend and backend development of web applications,"React, Node.js, MongoDB, Express.js, Deployment",Technology,7,120000,"Full Stack Developer. Handles both frontend and backend development of web applications. Skills: React, Node.js, MongoDB, Express.js, Deployment"
DevOps Engineer,Automates software delivery pipelines and manages CI/CD systems,"Jenkins, Docker, Kubernetes, Linux, Cloud",Technology,0,70000,"DevOps Engineer. Automates software delivery pipelines and manages CI/CD systems. Skills: Jenkins, Docker, Kubernetes, Linux, Cloud"
Cloud Engineer,Designs and manages cloud infrastructure for scalable applications,"AWS, Azure, GCP, Terraform, Networking",Technology,1,50000,"Cloud Engineer. Designs and manages cloud infrastructure for scalable applications. Skills: AWS, Azure, GCP, Terraform, Networking"
